methylation_gene__GENE_TMEM109,rnaseq_gene__GENE_DEFB105A,rnaseq_gene__GENE_SNAR-F,rnaseq_gene__GENE_SNAR-C3,rnaseq_gene__GENE_TTTY11,rnaseq_gene__GENE_SNORA19,rnaseq_gene__GENE_SNORA28,rnaseq_gene__GENE_SNORA32,rnaseq_gene__GENE_SNORA11B,rnaseq_gene__GENE_OR2M7,rnaseq_gene__GENE_OR10X1,rnaseq_gene__GENE_OR10K1,rnaseq_gene__GENE_OR4B1,rnaseq_gene__GENE_OR4C45,rnaseq_gene__GENE_OR8J1,rnaseq_gene__GENE_KRTAP12-3,rnaseq_gene__GENE_OR4D11,rnaseq_gene__GENE_FKSG73,rnaseq_gene__GENE_OR51F1,rnaseq_gene__GENE_KRTAP15-1,rnaseq_gene__GENE_OR4K5,rnaseq_gene__GENE_OR10Z1,rnaseq_gene__GENE_OR2T27,rnaseq_gene__GENE_OR8I2,rnaseq_gene__GENE_OR2T6,rnaseq_gene__GENE_DEFB127,rnaseq_gene__GENE_OR1S1,rnaseq_gene__GENE_TAAR2,rnaseq_gene__GENE_PISRT1,rnaseq_gene__GENE_OR52A1,rnaseq_gene__GENE_OR6Y1,rnaseq_gene__GENE_OR5M9,rnaseq_gene__GENE_OR5F1,rnaseq_gene__GENE_OR5H15,rnaseq_gene__GENE_C11ORF40,rnaseq_gene__GENE_OR7G1,rnaseq_gene__GENE_OR5I1,rnaseq_gene__GENE_OR4C46,rnaseq_gene__GENE_OR4K13,rnaseq_gene__GENE_TTTY12,rnaseq_gene__GENE_TAAR5,rnaseq_gene__GENE_OR5AS1,rnaseq_gene__GENE_OR4C13,rnaseq_gene__GENE_OR8K1,rnaseq_gene__GENE_OR51D1,rnaseq_gene__GENE_OR14C36,rnaseq_gene__GENE_OR5B3,rnaseq_gene__GENE_OR4K2,rnaseq_gene__GENE_OR6K2,rnaseq_gene__GENE_OR1S2,rnaseq_gene__GENE_OR4X1,rnaseq_gene__GENE_OR6C74,rnaseq_gene__GENE_OR5L2,rnaseq_gene__GENE_OR7A17,rnaseq_gene__GENE_OR4K14,rnaseq_gene__GENE_SNORD115-7,rnaseq_gene__GENE_OR5W2,rnaseq_gene__GENE_TAS2R16,rnaseq_gene__GENE_OR12D3,rnaseq_gene__GENE_OR5R1,rnaseq_gene__GENE_OR8J3,rnaseq_gene__GENE_OR2T1,rnaseq_gene__GENE_BIRC8,rnaseq_gene__GENE_OR4S1,rnaseq_gene__GENE_OR1A1,rnaseq_gene__GENE_KRTAP27-1,rnaseq_gene__GENE_OR5D16,rnaseq_gene__GENE_OR51L1,rnaseq_gene__GENE_OR10C1,rnaseq_gene__GENE_SNORA36A,rnaseq_gene__GENE_PRAMEF17,rnaseq_gene__GENE_CDY1,rnaseq_gene__GENE_OR7C2,rnaseq_gene__GENE_OR10W1,rnaseq_gene__GENE_OR4C12,rnaseq_gene__GENE_FLJ44082,methylation_gene__GENE_CCNDBP1,rnaseq_gene__GENE_OR4A5,rnaseq_gene__GENE_OR11H1,rnaseq_gene__GENE_SNORA78,rnaseq_gene__GENE_OR4C15,rnaseq_gene__GENE_OR6Q1,rnaseq_gene__GENE_RAB9BP1,rnaseq_gene__GENE_OR5AC2,rnaseq_gene__GENE_OR10G8,rnaseq_gene__GENE_OR8B8,rnaseq_gene__GENE_OR10J1,methylation_gene__GENE_METRN,rnaseq_gene__GENE_OR2M5,methylation_gene__GENE_MARCH3,methylation_gene__GENE_MGC16275;TTYH2,methylation_gene__GENE_RPUSD2,rnaseq_gene__GENE_DEFB107A,rnaseq_gene__GENE_OR11L1,rnaseq_gene__GENE_OR6C4,rnaseq_gene__GENE_SPATA31B1P,rnaseq_gene__GENE_OR2Z1,rnaseq_gene__GENE_OR2G3,methylation_gene__GENE_DPP7,rnaseq_gene__GENE_OR8H3,target
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
