Paper Title,Summary/Description,Link
PanMETAI - a high performance tabular foundation model for accurate pancreatic cancer diagnosis via NMR metabolomics,TabPFN enabled non-invasive early detection of pancreatic cancer by integrating NMR metabolomics with clinical and protein biomarkers.,https://www.nature.com/articles/s41467-026-69426-9
Tabular foundation models for in-context prediction of molecular properties,TabPFN enables highly accurate and cost-efficient molecular property prediction by pairing in-context learning with frozen molecular embeddings and descriptor,https://arxiv.org/abs/2604.16123
Boosting pre-trained model with silica nanoparticles cellular toxicity prediction,TabPFN enabled robust prediction of silica nanoparticle cytotoxicity,https://www.nature.com/articles/s41598-025-33872-0
Combining BulkFormer and TabPFN to predict post- transplant function from kidney biopsies during machine perfusion or cold storage,TabPFN was combined with BulkFormer to improve prediction accuracy of post-transplant kidney function for better assessment of organ viability during machine perfusion or cold storage,https://doi.org/10.21203/rs.3.rs-9242336/v1
Survival In-Context: Prior-fitted In-context Learning Tabular Foundation Model for Survival Analysis,"TabPFN enhances survival analysis, leading to superior performance compared to specialized methods",https://arxiv.org/pdf/2603.29475
A metabolite-augmented FIB-4 machine learning panel achieves superior liver fibrosis staging in chronic liver disease,TabPFN demonstrated superior performance and translational feasibility for liver fibrosis staging,https://www.cell.com/cell-reports-medicine/fulltext/S2666-3791(26)00143-6
Advancing cardiovascular disease diagnosis with an interpretable and responsible AI framework,TabPFN was leveraged in cardiovascular disease diagnosis,https://doi.org/10.1038/s41598-026-35451-3
Transformer-based multimodal model for estimation of appendicular lean mass using incomplete chest radiographs and electronic health record,TabPFN enabled accurate prediction of ALM from multimodal clinical data and improved sarcopenia screening by maintaining robust performance despite missing modalities,https://doi.org/10.1186/s12967-026-08079-0
The ASIA Data Science Challenge: Predicting Functional and Neurological Recovery From Acute ISNCSCI Scores,TabPFN was employed in the winning solution for predicting walking function,https://doi.org/10.46292/sci25-00137
Transcriptome-based cell type assignment for kidney cell culture models,"TabPFN demonstrated high accuracy and specificity in matching cell line transcriptomes to reference kidney cell types using curated kidney marker gene lists, enhancing robust assessment of cell line identity",https://doi.org/10.64898/2026.03.30.715265
Computed atlas of the human GPCR-G protein signaling complexes,"TabPFN was used to enhance prediction accuracy of protein coupling based on structural features, improving biological insight into protein interactions",https://www.biorxiv.org/content/10.64898/2026.03.07.710286v1
Predicting adverse events for risk stratification of chemotherapy based stem cell mobilization in multiple myeloma,"TabPFN supports risk stratification and adverse event prediction in chemotherapy-based stem cell mobilization, enabling improved ward management and resource allocation",https://www.nature.com/articles/s41746-026-02394-y
"Application of treatment response assessment maps (TRAMs), based on delayed-contrast MRI for radiomic characterization of breast lesions","TabPFN used with other ML models to improve radiomics-based breast cancer diagnosis, enhancing feature-combination performance and classification accuracy",https://www.nature.com/articles/s41598-026-40472-z
GitHub - Smallriver2024/STBNet: TabPFN-Based Interpretable Deep Learning Model for Discriminating Spinal Tuberculosis from Pyogenic Spinal Infection --- github.com,"TabPFN enhances model interpretability and accuracy in differentiating complex spinal infections, aiding clinical decision-making in ambiguous diagnostic cases",https://github.com/Smallriver2024/STBNet
Automating Early Disease Prediction Via Structured and Unstructured Clinical Data,"TabPFN enables improved data quality and predictive model reliability by integrating unstructured clinical text with automated pipelines, enhancing early disease prediction and clinical decision-making",http://arxiv.org/abs/2603.28167
"Multi-Task Transformer Framework and Radiomic Signatures for Multi-Lesion Segmentation, Detection, and Grading in Diabetic Retinopathy","TabPFN improved severity classification performance in diabetic retinopathy, supporting more accurate staging and treatment planning",https://www.sciencedirect.com/science/article/pii/S1572100026001225
MuCB-tabpfn: A multimodal feature fusion framework for predicting human blood concentrations of organic pollutants,"TabPFN was integrated into the multimodal MuCB-tabpfn framework, enabling high predictive accuracy in estimating pollutant concentrations in human blood",https://www.sciencedirect.com/science/article/pii/S0147651326003842
Physics-based machine learning for enhanced drug formulation development,"TabPFN enables better generalization and accuracy in modeling complex drug formulation data, improving AI-driven formulation design workflows",https://www.sciencedirect.com/science/article/pii/S0168365926002622
"GitHub - Rishabhmannu/MultiModal-Stress-Detection-ML: Advanced machine learning pipeline for real-time stress detection using synchronized chest and wrist wearable sensors, featuring state-of-the-art TabPFN models and interpretable cross-modal attention mechanisms with clinical-grade reporting. --- github.com",TabPFN enables state-of-the-art real-time stress detection by enhancing accuracy and interpretability of multimodal physiological and sensor data,https://github.com/Rishabhmannu/MultiModal-Stress-Detection-ML
TabPFN Opens New Avenues for Small-Data Tabular Learning in Drug Discovery,"TabPFN was applied as a robust and data-efficient alternative for tabular learning in drug discovery, improving performance on small and medium datasets and under out-of-distribution conditions",https://doi.org/10.1021/acs.jcim.5c02823
Retrieval-aligned Tabular Foundation Models Enable Robust Clinical Risk Prediction in Electronic Health Records Under Real-world Constraints,"TabPFN was used to enhance clinical risk prediction from electronic health records by providing robust modeling under real-world constraints, improving prognosis accuracy and reliability",https://doi.org/10.21203/rs.3.rs-9085469/v1
From raw clinical data to robust prediction: an AI framework for early lymphedema detection,TabPFN achieved the highest performance in predicting BCRL risk with strong minority-class discrimination and accurate calibration,https://doi.org/10.1186/s12874-026-02805-4
Predicting the Maximum Loading in Zeolites for Hydroisomerization Applications: A Machine Learning Approach,"TabPFN achieved strong generalization performance in predicting adsorption capacity in zeolites, with physically meaningful interpretability",https://doi.org/10.1021/acs.jpcc.5c08611
"A multidimensional clinical prediction model for early screening of recurrent spontaneous abortion: integrating coagulation, immune, and endocrine markers",TabPFN achieved superior discriminative performance in predicting RSA risk by integrating multidimensional clinical data into accurate and interpretable screening models,https://doi.org/10.3389/fimmu.2026.1774359
Multimodal multi-instance learning for cardiopulmonary exercise testing performance prediction,TabPFN was used to encode structured EHR data for predicting peak VO$_2$ and identifying high-risk heart failure patients,https://doi.org/10.1038/s41746-026-02493-w
Deep Learning Models Enable Healthy Donor Management through Prediction of Mobilization Success,"TabPFN provided highly accurate predictions of donor mobilization success using baseline and post-mobilization variables, facilitating early triage and improved transplantation outcomes",https://doi.org/10.1016/j.jtct.2026.02.016
"Classification of Adolescent Drinking via Behavioral, Biological, and Environmental Features: A Machine Learning Approach with Bias Control","TabPFN was integrated into the FocalTab framework to improve classification accuracy, handle class imbalance, and support early identification of adolescent alcohol use",https://doi.org/10.64898/2026.02.24.26347002
Systematic benchmarking of foundation models and classical baselines for microbiome-based disease prediction,"TabPFN demonstrated strong robustness in cross-cohort microbiome disease prediction under domain shift, maintaining competitive performance across datasets",https://doi.org/10.21203/rs.3.rs-8912605/v1
HEART: Hierarchical ensemble model using augmented representations and tabular learning for coronary artery disease prediction,TabPFN was used as a meta-learner combining predictions of multiple base models to capture complex interactions and enhance early coronary artery disease prediction accuracy,https://doi.org/10.21203/rs.3.rs-8239358/v1
A Niche in the Machine: The Promise of AI Foundation Models for Species Distribution Modeling,"TabPFN enables Bayesian inference via in-context learning without per-dataset training, improving accuracy, calibration, and inference speed in scientific disease modeling tasks",https://doi.org/10.32942/x2vq10
MultiModalPFN: Extending Prior-Data Fitted Networks for Multimodal Tabular Learning,"TabPFN was extended to multimodal learning through MMPFN, enabling effective integration of non-tabular modalities with structured clinical data",http://arxiv.org/abs/2602.20223v2
ChemPFN: Unified Bayesian Modelling of Bioactivities Across ChEMBL,"TabPFN enables unified Bayesian modeling to improve bioactivity prediction across the ChEMBL database, supporting more efficient drug discovery pipelines",https://doi.org/10.26434/chemrxiv.15000292/v1
Differentiation between psychotic and non-psychotic major depression by the tabular prior-data fitted network,"TabPFN was used for effective differentiation between psychotic and non-psychotic major depression, improving classification accuracy and supporting psychiatric diagnosis",https://doi.org/10.1016/j.jad.2026.121454
GitHub - SindyPin/TACO: TabPFN Augmented Causal Outcomes for Early Detection of Long COVID --- github.com,TabPFN enables more accurate and efficient causal inference to aid early diagnosis and understanding of Long COVID,https://github.com/SindyPin/TACO
GitHub - AhmedAlMarouf/FoundationModel\_on\_Mimic3\_ClinRisk: This project in on Clinical risk prediction on MIMIC-III using **TabPFN** (Prior-Fitted Networks). --- github.com,"TabPFN was utilized to improve clinical risk prediction models on MIMIC-III data, enhancing both accuracy and efficiency",https://github.com/AhmedAlMarouf/FoundationModel_on_Mimic3_ClinRisk
Evaluating the effect of heart and respiratory rate measurement errors on the ability to predict the outcome of high flow nasal cannula therapy: a multi-centre study,TabPFN outperformed current methods in predicting HFNC therapy outcomes and demonstrated potential for improved performance with additional clinical measurements,https://doi.org/10.1186/s13054-025-05765-1
"Enhancing post-TIPS hepatic encephalopathy risk stratification: a hybrid TabPFN model leveraging radiomics, deep transfer learning features, and MELD score",TabPFN was used in a hybrid model combining radiomics and deep learning features to improve risk stratification for post-TIPS hepatic encephalopathy,https://doi.org/10.1007/s12072-025-10934-z
"Digital Discovery of Synthesizable Metal-Organic Frameworks via Molecular Dynamics‑Informed, High‑Fidelity Deep Learning","TabPFN was fine-tuned as a proxy model to predict synthetic likelihood of hMOFs, enabling high-fidelity large-scale screening in materials-related biomedical contexts",https://doi.org/10.1002/adfm.202519565
Enhancing Intra-Continental Biogeographical Ancestry Prediction Through a Machine Learning Marker Selection Method,"TabPFN improved intra-European ancestry prediction accuracy when combined with ML-based marker selection, outperforming traditional approaches",https://doi.org/10.1101/2025.11.08.687358
Tabular prior-data fitted network in real-world CT radiomics: benign vs. malignant renal tumor classification,"TabPFN improves renal tumor classification accuracy in CT radiomics by effectively handling small, high-dimensional datasets without extensive tuning",https://doi.org/10.21037/qims-2025-1132
Count-Based Approaches Remain Strong: A Benchmark Against Transformer and LLM Pipelines on Structured EHR,TabPFN demonstrates competitive performance as a count-based model for clinical prediction on structured EHR data compared to transformer-based pipelines,http://arxiv.org/abs/2511.00782v1
Privacy-Preserving Empathy Detection in Video Interactions,TabPFN improves empathy detection accuracy and cross-subject generalization in human-centered video datasets,http://arxiv.org/abs/2504.10808v2
Deep learning-aided prediction and mechanistic analysis of reaction kinetics in biochar-catalyzed antibiotic degradation,"TabPFN enables accurate prediction of reaction kinetics, facilitating mechanistic understanding in biochar-catalyzed antibiotic degradation processes",https://link.springer.com/article/10.1007/s42773-026-00606-y
Multiple Imputation of a Continuous Outcome with Fully Observed Predictors Using TabPFN,TabPFN yields competitive or superior performance for multiple imputation tasks compared to alternative statistical and ML methods,https://www.mdpi.com/2571-905X/9/2/38
Lightweight and interpretable integrated diagnostic framework for skin lesion segmentation and classification,TabPFN improves multimodal skin cancer diagnosis by combining structured lesion features with clinical data for more accurate and interpretable predictions,https://www.sciencedirect.com/science/article/pii/S0020025526003609
Lightweight and interpretable integrated diagnostic framework for skin lesion segmentation and classification,"TabPFN supports pediatric disease classification in clinical decision support systems, reducing misdiagnosis in emergency settings",https://www.scitepress.org/Papers/2026/143473/143473.pdf
Evaluating EEG-Based Seizure Classification Using Foundation and Classical Ensemble Models,"TabPFN improves EEG seizure classification across subjects, achieving high accuracy and strong generalization",https://doi.org/10.3390/app16073120
Enhancing kelp origin prediction accuracy: A TabPFN model with stable isotope analysis and explainability techniques for robust insights,"TabPFN improves kelp origin prediction using stable isotope data, providing robust and interpretable environmental insights",https://doi.org/10.1016/j.foodchem.2026.148591
Accurate prediction of CO2 frosting temperature in natural gas mixtures using explainable data-driven frameworks,TabPFN predicts CO$_2$ frosting temperatures in natural gas mixtures with high accuracy and interpretability,https://doi.org/10.1016/j.chemolab.2026.105679
Descriptor-First Approach for ADMET Prediction in the PolarisHub Antiviral Challenge,"TabPFN improves ADMET modeling by increasing prediction accuracy, simplifying deployment, and producing compact models",https://doi.org/10.1021/acs.jcim.5c02094
On the use of TabPFN on mass spectrometry analysis of volatile organic compounds,"TabPFN enhances analysis and classification of volatile organic compounds using mass spectrometry data, improving efficiency in chemical and biomedical analysis",https://doi.org/10.1038/s41598-025-29128-6
How BostonGene Utilized TabPFN to Identify Immune System Profiles Associated with Immunotherapy Response in Cancer Patients,"TabPFN was applied to distinguish cancer patients from healthy individuals using immune system profiles from peripheral blood, facilitating predictions of immunotherapy responses",https://www.linkedin.com/pulse/how-bostongene-utilized-tabpfn-identify-immune-system-profiles-vexle/
Machine learning-based diagnostic prediction of minimal change disease: Model development study,"A machine learning model employing TabPFN was developed for non-invasive diagnostic prediction of minimal change disease in patients with nephrotic syndrome, utilizing clinical biomarkers",https://www.nature.com/articles/s41598-024-73898-4
Comprehensive peripheral blood immunoprofiling reveals five immunotypes with immunotherapy response characteristics in patients with cancer,"TabPFN was integrated into a system for analyzing T-cell receptor repertoires combined with clinical biomarkers to forecast immunotherapy outcomes in cancer patients, as explored by researchers at BostonGene",https://www.cell.com/cancer-cell/fulltext/S1535-6108(24)00132-6
Artificial intelligence-driven predictive framework for early detection of still birth,"TabPFN enabled early detection of stillbirth risks through analysis of cardiotocography data, supporting improved prenatal care",https://www.sciencedirect.com/science/article/pii/S2472630324000852
A machine learning-based approach for individualized prediction of short-term outcomes after anterior cervical corpectomy,Predictive modeling for postoperative outcomes following anterior cervical corpectomy utilized TabPFN to assess patient demographics and surgical parameters,https://pmc.ncbi.nlm.nih.gov/articles/PMC11366553/
Predicting dementia in Parkinson's disease on a small tabular dataset using hybrid LightGBM--TabPFN and SHAP,"A hybrid model incorporating TabPFN was introduced to predict dementia progression in Parkinson's disease patients, handling small datasets and missing values effectively",https://journals.sagepub.com/doi/full/10.1177/20552076241272585
Data-Driven Prognostication in Distal Medium Vessel Occlusions Using Explainable Machine Learning,A machine learning model based on TabPFN was developed to predict 90-day unfavorable outcomes in stroke patients with distal vessel occlusions using CT perfusion imaging,https://www.ajnr.org/content/early/2024/10/28/ajnr.A8547.abstract
Early prediction of non-invasive ventilation outcome using the TabPFN machine learning model: A multi-centre validation study,"TabPFN facilitated the prediction of non-invasive ventilation outcomes in patients with acute hypoxemic respiratory failure, supporting early identification of treatment failures",https://www.researchgate.net/profile/Antonio-Esquinas/publication/393595503_Early-prediction-of-non-invasive_ventilation_outcome_using_the_TabPFN_machine_learning_model_a_multi-centre_validation_study/links/68718bc56e247f362b18c4b8/Early-prediction-of-non-invasive-ventilation-outcome-using-the-TabPFN-machine-learning-model-a-multi-centre-validation-study.pdf
Clinical prediction of intravenous immunoglobulin-resistant Kawasaki disease based on interpretable Transformer model,An interpretable Transformer-based model leveraging TabPFN was created to predict intravenous immunoglobulin resistance in pediatric patients with Kawasaki disease,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0327564
Prostate Cancer Diagnosis via Visual Representation of Tabular Data and Deep Transfer Learning,"TabPFN was employed in visual representation techniques for prostate cancer diagnosis, converting clinical biomarkers and symptom data into formats suitable for analysis",https://www.mdpi.com/2306-5354/11/7/635
MRI Delta-Radiomics and Morphological Feature-Driven TabPFN Model for Preoperative Prediction of Lymphovascular Invasion in Invasive Breast Cancer,"TabPFN was used to combine clinical, MR morphological, and delta-radiomics features to predict lymphovascular invasion in invasive breast cancer patients",https://journals.sagepub.com/doi/full/10.1177/15330338251362050
Harnessing Small-Data Machine Learning for Transformative Mental Health Forecasting: Towards Precision Psychiatry With Personalised Digital Phenotyping,"TabPFN is proposed to predict mental health trajectories through digital phenotyping, enabling proactive and personalized interventions in precision psychiatry",https://onlinelibrary.wiley.com/doi/epdf/10.1002/mdr2.70017
ML-Health-TABPFN,"TabPFN contributed to cardiovascular disease risk stratification using clinical features from a large patient cohort, incorporating interpretability techniques",https://github.com/Bruno-LSo/ML-Health-TABPFN
Tabular Prior Data Fitted Network Predicts Acute Kidney Injury with Routine Clinical Data,"TabPFN outperformed traditional machine learning models for early prediction of acute kidney injury in hospitalized patients, demonstrating generalizability across datasets",https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5397006
"Deep Learning Predicts Postoperative Mobility, Activities of Daily Living, and Discharge Destination in Older Adults from Sensor Data",TabPFN was integrated into a framework for predicting postoperative mobility and discharge destinations in older adults using sensor data,https://www.mdpi.com/1424-8220/25/16/5021
From mother to infant: predicting infant temperament using maternal mental health measures and tabular machine learning models,"TabPFN supported the prediction of infant temperament from maternal mental health data, aiding early identification of at-risk infants",https://www.frontiersin.org/journals/public-health/articles/10.3389/fpubh.2025.1659987/abstract
Characterizing clinical risk profiles of major complications in type 2 diabetes mellitus using deep learning algorithms,"TabPFN was employed to characterize clinical risk profiles for complications in type 2 diabetes mellitus patients, focusing on neuropathy and retinopathy",https://www.frontiersin.org/journals/endocrinology/articles/10.3389/fendo.2025.1657366/abstract
Longitudinal Progression Prediction of Alzheimer’s Disease with Tabular Foundation Model,TabPFN was extended with a longitudinal-to-cross-sectional transformation to forecast Alzheimer's disease progression on neuroimaging datasets,https://arxiv.org/abs/2508.17649
Uncertainty-Aware Tabular Prediction: Evaluating VBLL-Enhanced TabPFN in Safety-Critical Medical Data,TabPFN supported uncertainty calibration evaluation in medical data using variational techniques,https://arxiv.org/abs/2509.10048
Machine learning models of RNA expression landscapes help predict overall tumor response to chemotherapy in cholangiocarcinoma,TabPFN was applied to predict tumor response to chemotherapy in cholangiocarcinoma patients using RNA expression landscapes,https://aacrjournals.org/clincancerres/article/31/13_Supplement/A020/763312
TabPFGen -- Tabular Data Generation with TabPFN,TabPFN was incorporated into a generative model framework for tasks like data augmentation and imputation in biomedicine,https://arxiv.org/abs/2406.05216
Determination of Malignancy Risk Factors Using Gallstone Data and Comparing Machine Learning Methods to Predict Malignancy,TabPFN facilitated the prediction of gallstone malignancy risks through analysis of associated disease factors,https://www.mdpi.com/2077-0383/14/17/6091
Machine Learning Classification of Favorable vs Unfavorable Tuberculosis Treatment Outcomes Using Clinical and Sociodemographic Data from Brazil's SINAN-TB (2001--2023),TabPFN was used in classifying tuberculosis treatment outcomes based on clinical and sociodemographic data from national registries,https://www.researchsquare.com/article/rs-7502054/v1
Early Prediction of Gestational Diabetes Using Integrated Cell-free DNA Features and Omics-derived Genetic Scores,TabPFN contributed to early prediction of gestational diabetes using cell-free DNA and genetic scores from early pregnancy blood samples,https://www.medrxiv.org/content/10.1101/2025.09.03.25334985v1
Sense-of-Agency as Clinically Accessible Features for Schizophrenia Prediction: Interpretable Ensemble Machine Learning Research and Webserver Development,"TabPFN was used for predicting schizophrenia based on sense of agency features, emphasizing interpretability",https://www.sciencedirect.com/science/article/abs/pii/S187620182500317X
Integrating Artificial Intelligence and Physiologically Based Pharmacokinetic Modeling to Predict In Vitro and In Vivo Fate of Amorphous Solid Dispersions,TabPFN was integrated into a physiologically based pharmacokinetic model for predicting dissolution and absorption of amorphous solid dispersions in drug development,https://doi.org/10.1016/j.jconrel.2025.114123
TabPFN Achieves Superior Performance in Respiratory Disease Classification based on Respiratory Sound Data,"TabPFN enabled classification of respiratory diseases from sound data, addressing clinical spectrum diversity",https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5529540
TabPFN Opens New Avenues for Small-Data Tabular Learning in Drug Discovery,"TabPFN was applied to small-data tabular learning in drug discovery, handling data scarcity and distribution shifts",https://chemrxiv.org/engage/chemrxiv/article-details/68d29b1cf2aff1677025b18f
Development of an Optimized Risk Evaluation System for Cardiovascular-Kidney-Metabolic Syndrome-Associated Coronary Heart Disease Based on Tabular Prior-Data Fitted Network,"TabPFN facilitated prediction of coronary heart disease risk in patients with cardiovascular-kidney-metabolic syndrome, optimizing evaluation in small samples",https://pmc.ncbi.nlm.nih.gov/articles/PMC12437168/
Advanced Deep Learning Enables Prediction of Allogeneic Stem Cell Mobilization Success,"TabPFN was used to predict success of allogeneic stem cell mobilization in donors, aiding transplant therapies",https://www.biorxiv.org/content/10.1101/2025.09.17.676674v1.full
