task_family,model_name,accuracy,f1,roc_auc,pr_auc,sensitivity_event,log_loss
os_3yr,tabfm_default,0.6273228292511415,0.5385257357505276,0.5111117701742701,,,0.656471965007548
os_3yr,tabpfn_v2,0.6100839706102864,0.4040812326697575,0.47443868631368635,,,0.610457677769011
os_3yr,tabpfn_v2_5,0.6209396538797628,0.4344790812141099,0.4538243006993007,,,0.6148044694212992
os_3yr,tabpfn_v2_6,0.6265565457262372,0.532508967708443,0.5006630522255522,,,0.6104357495547026
os_3yr,tabpfn_v3,0.6181753196725974,0.4629367855051921,0.5000129037629037,,,0.6058848679843668
os_5yr,tabfm_default,0.784582727111768,0.7506745219767085,0.5491333041832134,,,0.5010481317850134
os_5yr,tabpfn_v2,0.7816867200911449,0.708309417315311,0.481593774243502,,,0.501007612438177
os_5yr,tabpfn_v2_5,0.7816867200911449,0.708309417315311,0.5280550040804124,,,0.5000893075732025
os_5yr,tabpfn_v2_6,0.7715068166247123,0.7232115699571897,0.5879711818731782,,,0.5024375332370403
os_5yr,tabpfn_v3,0.7854603049968053,0.7333094173153111,0.6209836533702232,,,0.49445518920942566
