dataset,model_name,version,task_type,status,error_type,error_message,accuracy,f1,roc_auc,log_loss,task_family,pr_auc,sensitivity_event
BRCA_core_os_3yr_event_top100,tabpfn_v2,v2,binary,success,,,0.8552631578947368,0.0,0.7216783216783217,0.383518150446762,os_3yr,,
BRCA_core_os_3yr_event_top100,tabpfn_v2_5,v2_5,binary,success,,,0.8552631578947368,0.0,0.641958041958042,0.3885430098025013,os_3yr,,
BRCA_core_os_3yr_event_top100,tabpfn_v2_6,v2_6,binary,success,,,0.868421052631579,0.1666666666666666,0.641958041958042,0.3694309163402479,os_3yr,,
BRCA_core_os_3yr_event_top100,tabpfn_v3,v3,binary,success,,,0.868421052631579,0.1666666666666666,0.5664335664335665,0.3875920794126618,os_3yr,,
BRCA_core_os_5yr_event_top100,tabpfn_v2,v2,binary,success,,,0.7169811320754716,0.0,0.6035087719298246,0.5805018659087904,os_5yr,,
BRCA_core_os_5yr_event_top100,tabpfn_v2_5,v2_5,binary,success,,,0.7169811320754716,0.0,0.5947368421052631,0.5763073100094839,os_5yr,,
BRCA_core_os_5yr_event_top100,tabpfn_v2_6,v2_6,binary,success,,,0.7358490566037735,0.125,0.5464912280701755,0.5828900590195274,os_5yr,,
BRCA_core_os_5yr_event_top100,tabpfn_v3,v3,binary,success,,,0.7358490566037735,0.125,0.5842105263157894,0.5718562154271083,os_5yr,,
ESCA_core_os_3yr_event_top100,tabpfn_v2,v2,binary,success,,,0.7692307692307693,0.8695652173913043,0.2333333333333333,0.5596449482388756,os_3yr,,
ESCA_core_os_3yr_event_top100,tabpfn_v2_5,v2_5,binary,success,,,0.7692307692307693,0.8695652173913043,0.2333333333333333,0.5735895105542087,os_3yr,,
ESCA_core_os_3yr_event_top100,tabpfn_v2_6,v2_6,binary,success,,,0.7692307692307693,0.8695652173913043,0.4,0.5781184718313622,os_3yr,,
ESCA_core_os_3yr_event_top100,tabpfn_v3,v3,binary,success,,,0.7692307692307693,0.8695652173913043,0.5333333333333333,0.5507041972118909,os_3yr,,
ESCA_core_os_5yr_event_top100,tabpfn_v2,v2,binary,success,,,0.9166666666666666,0.9565217391304348,0.0909090909090909,0.3186737723491814,os_5yr,,
ESCA_core_os_5yr_event_top100,tabpfn_v2_5,v2_5,binary,success,,,0.9166666666666666,0.9565217391304348,0.3636363636363636,0.3074138256601317,os_5yr,,
ESCA_core_os_5yr_event_top100,tabpfn_v2_6,v2_6,binary,success,,,0.9166666666666666,0.9565217391304348,0.7272727272727273,0.2878911230672221,os_5yr,,
ESCA_core_os_5yr_event_top100,tabpfn_v3,v3,binary,success,,,0.9166666666666666,0.9565217391304348,0.7272727272727273,0.2936189562180601,os_5yr,,
HNSCC_core_os_3yr_event_top100,tabpfn_v2,v2,binary,success,,,0.5,0.6588235294117647,0.4603365384615384,0.7066636555213175,os_3yr,,
HNSCC_core_os_3yr_event_top100,tabpfn_v2_5,v2_5,binary,success,,,0.5172413793103449,0.65,0.4513221153846153,0.7070820229511947,os_3yr,,
HNSCC_core_os_3yr_event_top100,tabpfn_v2_6,v2_6,binary,success,,,0.5344827586206896,0.6582278481012658,0.5264423076923077,0.6899324509656745,os_3yr,,
HNSCC_core_os_3yr_event_top100,tabpfn_v3,v3,binary,success,,,0.5689655172413793,0.6987951807228916,0.4639423076923077,0.6936236272058472,os_3yr,,
HNSCC_core_os_5yr_event_top100,tabpfn_v2,v2,binary,success,,,0.813953488372093,0.8974358974358975,0.6857142857142857,0.452655693502087,os_5yr,,
HNSCC_core_os_5yr_event_top100,tabpfn_v2_5,v2_5,binary,success,,,0.813953488372093,0.8974358974358975,0.6285714285714286,0.4653041812400217,os_5yr,,
HNSCC_core_os_5yr_event_top100,tabpfn_v2_6,v2_6,binary,success,,,0.813953488372093,0.8974358974358975,0.65,0.4517882964615088,os_5yr,,
HNSCC_core_os_5yr_event_top100,tabpfn_v3,v3,binary,success,,,0.813953488372093,0.8974358974358975,0.625,0.4609216928856071,os_5yr,,
LSCC_core_os_3yr_event_top100,tabpfn_v2,v2,binary,success,,,0.4259259259259259,0.4150943396226415,0.4464285714285715,0.7104470131500172,os_3yr,,
LSCC_core_os_3yr_event_top100,tabpfn_v2_5,v2_5,binary,success,,,0.4629629629629629,0.4528301886792453,0.4711538461538461,0.7113327408682288,os_3yr,,
LSCC_core_os_3yr_event_top100,tabpfn_v2_6,v2_6,binary,success,,,0.4814814814814814,0.5,0.467032967032967,0.7140400309139354,os_3yr,,
LSCC_core_os_3yr_event_top100,tabpfn_v3,v3,binary,success,,,0.4259259259259259,0.392156862745098,0.478021978021978,0.7039845526476343,os_3yr,,
LSCC_core_os_5yr_event_top100,tabpfn_v2,v2,binary,success,,,0.6976744186046512,0.821917808219178,0.5987179487179487,0.5955817330747546,os_5yr,,
LSCC_core_os_5yr_event_top100,tabpfn_v2_5,v2_5,binary,success,,,0.6976744186046512,0.821917808219178,0.5858974358974359,0.5959691010457367,os_5yr,,
LSCC_core_os_5yr_event_top100,tabpfn_v2_6,v2_6,binary,success,,,0.627906976744186,0.7714285714285715,0.5333333333333333,0.6180309746252834,os_5yr,,
LSCC_core_os_5yr_event_top100,tabpfn_v3,v3,binary,success,,,0.6976744186046512,0.821917808219178,0.6282051282051282,0.5938027891522828,os_5yr,,
LUAD_core_os_3yr_event_top100,tabpfn_v2,v2,binary,success,,,0.5,0.0769230769230769,0.5104166666666667,0.692014621488083,os_3yr,,
LUAD_core_os_3yr_event_top100,tabpfn_v2_5,v2_5,binary,success,,,0.5,0.2,0.4713541666666667,0.693475062930362,os_3yr,,
LUAD_core_os_3yr_event_top100,tabpfn_v2_6,v2_6,binary,success,,,0.4791666666666667,0.4680851063829787,0.4678819444444445,0.700656877722293,os_3yr,,
LUAD_core_os_3yr_event_top100,tabpfn_v3,v3,binary,success,,,0.4583333333333333,0.1875,0.4583333333333333,0.6935198834437998,os_3yr,,
LUAD_core_os_5yr_event_top100,tabpfn_v2,v2,binary,success,,,0.7631578947368421,0.8656716417910447,0.4291187739463601,0.557624997356072,os_5yr,,
LUAD_core_os_5yr_event_top100,tabpfn_v2_5,v2_5,binary,success,,,0.7631578947368421,0.8656716417910447,0.4674329501915709,0.5554521199106385,os_5yr,,
LUAD_core_os_5yr_event_top100,tabpfn_v2_6,v2_6,binary,success,,,0.7631578947368421,0.8656716417910447,0.4827586206896552,0.5715872130116599,os_5yr,,
LUAD_core_os_5yr_event_top100,tabpfn_v3,v3,binary,success,,,0.7631578947368421,0.8656716417910447,0.5402298850574713,0.55207629236407,os_5yr,,
BRCA_core_os_3yr_event_top100,tabfm_default,tabfm_1_0_0,binary,success,,,0.868421052631579,0.1666666666666666,0.5804195804195804,0.3696838421018872,os_3yr,,
